date,season,location,team1,team2,score1,score2,result,elo_prob1
1920-09-26,1920,H,RII,STP,48,0,1.0,0.8246512009492516
1920-10-03,1920,H,AKR,WHE,43,0,1.0,0.8242120973373386
1920-10-03,1920,H,BFF,WBU,32,6,1.0,0.8020003005487033
1920-10-03,1920,H,DAY,COL,14,0,1.0,0.5758191240920725
1920-10-03,1920,H,RII,MUN,45,0,1.0,0.6441710901126361
1920-10-03,1920,H,RCH,ABU,10,0,1.0,0.8242120973373386
1920-10-03,1920,H,CHI,MUT,20,0,1.0,0.6829855714913705
1920-10-03,1920,H,CBD,PTQ,48,0,1.0,0.8252671507782987
1920-10-10,1920,H,RII,HAM,26,0,1.0,0.7186125156699114
1920-10-10,1920,H,CHI,KEW,25,7,1.0,0.7052228213582555
1920-10-10,1920,H,CBD,TLM,42,0,1.0,0.8350967251138723
1920-10-10,1920,H,DHR,CLP,40,14,1.0,0.8210600128920061
1920-10-10,1920,H,BFF,ABU,51,0,1.0,0.8190246337513903
1920-10-10,1920,H,AKR,COL,37,0,1.0,0.6371462416975575
1920-10-10,1920,H,CHT,ARI,0,0,0.5,0.3236958101289702
1920-10-10,1920,H,DAY,CTI,0,0,0.5,0.6609062119549988
1920-10-10,1920,H,RCH,FTP,66,0,1.0,0.8303914086394528
1920-10-17,1920,H,DAY,HAM,44,0,1.0,0.7016249406064283
1920-10-17,1920,H,CBD,CTI,7,0,1.0,0.6704588627828753
1920-10-17,1920,H,RCH,UTI,0,0,0.5,0.8404198708258926
1920-10-17,1920,H,RII,CHI,0,7,0.0,0.7817358026736219
1920-10-17,1920,H,AKR,CNC,13,0,1.0,0.8530716765977777
1920-10-17,1920,H,FTW,COL,14,0,1.0,0.3703429439183118
1920-10-17,1920,H,CHT,DHR,12,0,1.0,0.3089862674970486
1920-10-17,1920,H,ARI,MUT,33,3,1.0,0.8262089539380489
1920-10-17,1920,H,BFF,MCK,28,7,1.0,0.8234735946274689
1920-10-24,1920,H,RCH,SYR,21,7,1.0,0.8322407496806097
1920-10-24,1920,H,RII,ARI,7,0,1.0,0.6266977349565902
1920-10-24,1920,H,DHR,COL,6,0,1.0,0.6606584732908434
1920-10-24,1920,H,DAY,CBD,20,20,0.5,0.5799418307749183
